Text,Category,Code
"information inserted in
the blockchain is public, and cannot be modified or erased [].",Blockchain,0
"smart contracts are self-executing
contracts (generally saved on a blockchain) whose terms are directly written into lines of code [].",Blockchain,0
"recently, blockchain and its relations with smart contracts has received increasing attention from
media, which started to address it as “the next big thing” [], “the new black”, “the philosopher’s
stone” [] or “the new graal” [].",Blockchain,0
"in [], blockchain has been compared to inventions such as the steam
or combustion engine, since it is potentially able to bring benefits to a variety of everyday activities
and business processes.",Blockchain,0
"according to gartner’s hype cycle, blockchain is at the peak of inflated expectations, where the
enthusiasm is at the highest level possible [].",Blockchain,0
"nonetheless, concerns started to be expressed as well
about a massive adoption of blockchain [,–].",Blockchain,0
"future internet , , ; doi:./fi www.mdpi.com/journal/futureinternet
future internet , ,   of 
the risk is that one is so much in love with this technology that it becomes impossible for
one to objectively judge its true benefits.",Blockchain,0
"as stressed by adam cooper, a technical architect of the
bank of england, “[with blockchain] the focus as always should be on fulfilling user needs, not on
implementing technologies simply because they are clever or interesting.” [].",Blockchain,0
"the hype cycle for the insurance sector [], however, depicts blockchain technology at the
beginning of the curve connecting the technology trigger phase with the peak of inflated expectation,
meaning that this technology has not been fully explored yet in this particular sector.",Blockchain,0
"hence, the
questions that insurance companies are asking themselves right now are “are there clear use cases
exploiting blockchain technology and smart contracts in the insurance sector?”, “in case we want to
adopt a blockchain, what is the most suitable blockchain architecture for our needs?” and, more in
general, “is blockchain technology mature enough for insurance?”.",Blockchain,0
"it has been estimated that they will
need to wait about  to  years to see whether they made the right choice today by deciding to invest
or not in blockchain for their business [].",Blockchain,0
"the objective of this paper is to help companies operating in the insurance sector to answer the
above questions by providing an overview of blockchain- (and smart contracts-) based use cases in
such specific sector, and by highlighting strengths, weaknesses, opportunities and threats for this
technology.",Blockchain,0
"the authors decided to focus on insurance because, in this sector, blockchain technology
could have a relevant impact on a variety of processes and application scenarios.",Blockchain,0
"notwithstanding,
it is worth observing that, despite the focus on the particular domain the authors are operating into,
many of the examples provided and considerations made throughout the paper could be helpful for a
number of other companies, not necessarily from the financial domain.",Blockchain,0
"in fact, the aim is to stimulate
reflections and discussions on this topic, leaving to the reader the final judgment on the actual benefits
that could come from the adoption of the considered technology in a specific scenario.",Blockchain,0
"the paper is organized as follows: section  provides an overview of the blockchain technology,
by presenting its key concepts.",Blockchain,0
"section  discusses several use cases from the insurance sector, by
mentioning prototype solutions available so far.",Blockchain,0
"discussion is complemented by section , which
reports a swot analysis performed on a wider context to broaden the scope of the analysis beyond
the insurance domain.",Blockchain,0
"finally, conclusions are drawn in section .
. how blockchain works
the blockchain (literally, a “chain of blocks”) made its first appearance in the research scenario in
, in the frame of the bitcoin initiative [,].",Blockchain,0
"the objective was to transfer online payments from
one party to another, without relying on intermediaries.",Blockchain,0
"in this context, the blockchain was acting
as the underlying ledger recording bitcoin transfers and guaranteeing, by means of cryptographic
operations, the authentication and non-repudiation of payments.",Blockchain,0
"even though bitcoin is, by far, the most famous cryptocurrency, it is not alone.",Blockchain,0
"in fact, since ,
more than  cryptocurrencies have been created [], which are being used as exchange tokens in
many different blockchain-based applications.",Blockchain,0
the core concepts behind the blockchain technology are reported in the following.,Blockchain,0
"- transactions: each cryptocurrency transfer from one subject to another is represented as a
transaction from a to b. cryptocurrency is neither a physical nor a software object, but the result
of incoming and outgoing transactions.",Blockchain,0
"for this reason, the blockchain keeps track of all the
transactions occurred from its birth.",Blockchain,0
- blocks: transactions are grouped in blocks.,Blockchain,0
"each block collects all the transactions occurring in
a given timeframe and keeps a reference to the preceding block (that is where the concept of
“chain” comes from).",Blockchain,0
"future internet , ,   of 
- nodes: instead of being stored in a centralized database, the blockchain is spread over network
computers (the “nodes”), each containing a local copy of the entire blockchain.",Blockchain,0
"- majority consensus: since a central authority is missing, decisions on the network are made
according to a majority consensus.",Blockchain,0
"each node modifies its local copy of the blockchain to make it
mirror the status of the majority of the network nodes.",Blockchain,0
"- mining: nodes could either passively store a copy of the blockchain, or actively take part to
the maintenance of the blockchain, in the so-called “mining” process.",Blockchain,0
"during mining, nodes
check previous transactions to verify whether a subject is entitled to spend a given amount
of cryptocurrency and, each time a block has to be added to the chain, solve a complex
computational-intensive mathematical problem.",Blockchain,0
"this problem was specifically designed to
limit the possibility for a malicious entity to manipulate the blockchain by falsifying transactions.",Blockchain,0
"the probability of attacks is extremely low, since adding a new (malicious) block or modify a
previously added block to the chain would require control of the majority of the network nodes
(to make them agree with the modification).",Blockchain,0
- wallet: people transfer cryptocurrency using wallets.,Blockchain,0
"cryptocurrency cannot be stored on a
physical memory; rather, it is the result of previous transactions.",Blockchain,0
"hence, the wallet only stores
credentials (a complex, unchangeable combination of automatically assigned numbers and letters),
which enable blockchain users to transfer cryptocurrencies they own.",Blockchain,0
"each wallet is associated to
one (or more) unique addresses.",Blockchain,0
"should a user want to send a given amount of cryptocurrency to
a peer, he/she would have to specify the recipient’s address and the desired amount, and use
his/her credentials to validate the transaction.",Blockchain,0
"this aspect is particularly important, since in case
of credentials loss, the cryptocurrency owned by the user would not “disappear”, but the user
would be no more able to spend it.",Blockchain,0
"moreover, the fact that the user validates the transaction with
his/her credentials certifies that he/she was the actual initiator of the transaction.",Blockchain,0
"in order to better understand how the blockchain works, it could be worth considering the example
shown in figure .",Blockchain,0
"in the depicted scenario, alice wants to send some amount of cryptocurrency from
her wallet (with address “xz”) to arthur’s wallet (with address “vy”).",Blockchain,0
"future internet , ,    of  
 
‐ nodes: instead of being stored in a centralized database, the blockchain is spread over network 
computers (the “nodes”), each containing a local copy of the entire blockchain.",Blockchain,0
"‐ ajority  consensus:  since a  central authority  is  issing, decisions on  the network are made 
according to a majority consensus.",Blockchain,0
"each node modifies its local copy of the blockchain to make 
it mirror the status of the majority of the network nodes.",Blockchain,0
"‐ ini :  s could either pas ively store a copy of the blockchain, or actively take part to the 
mainte ance of the blockchain, in the so‐called “mining” process.",Blockchain,0
"during mining, nodes check 
previous  tran actions  o  verify  whether  a  subject  is  entitl d  o  spend  a  given  amount  of 
cryptocurrency  and,  each  time  a  block  has  to  be  ad ed  to  the  chain,  solve  a  complex 
co t ‐ i  mathematical problem.",Blockchain,0
"this problem was specifically design d to limit 
the possibility for a malicious entity to manipulate the blockchain by falsifying tra sactions.",Blockchain,0
"the 
probability  of  attacks  is  extrem ly  low,  since  adding  a  new  (malic ous)  block  or  modify  a 
previously ad e   l  t  t   i   l   i   t l  f t e  ajority of the network nodes 
(to  ake the  a re   it  t   ifi ti ).",Blockchain,0
‐ allet: people  transfer  cryptocurrency using  allets.,Blockchain,0
"cryptocurrency  cannot be  stored on  a 
physical memory; rather, it is the result of previous transactions.",Blockchain,0
"hence, the wallet only stores 
credentials  (a  complex,  unchangeable  combination  of  automatically  assigned  numbers  and 
letters), which enable blockchain users  to  transfer  cryptocurrencies  they own.",Blockchain,0
"each wallet  is 
associated to one (or more) unique addresses.",Blockchain,0
"should a user want to send a given amount of 
cryptocurrency to a peer, he/she would have to specify the recipient’s address and the desired 
amount,  and  use  his/her  credentials  to  validate  the  transaction.",Blockchain,0
"this  aspect  is  particularly 
important, since  in case of credentials  loss, the cryptocurrency owned by  the user would not 
“disappear”, but the user would be no more able to spend it.",Blockchain,0
"moreover, the fact that the user 
validates the transaction with his/her credentials certifies that he/she was the actual initiator of 
the transaction.",Blockchain,0
"in order  to better understand how  the blockchain works,  it  could be worth  considering  the 
example  shown  in  figure  .",Blockchain,0
"in  the  depicted  scenario,  alice  wants  to  send  some  amount  of 
cryptocurrency from her wallet (with address “xz”) to arthur’s wallet (with address “vy”).",Blockchain,0
performing transactions on the blockchain.,Blockchain,0
"alice makes  a  statement  in which  she  specifies  the  amount  to be  transferred  as well  as  the 
recipient of the transfer, and validates this message with her credentials (for sake of readiness, the 
‐ rose sent  to alice 
‐ alice sent  to bob 
‐ bob sent  to charlie 
‐ jeff sent  to bill 
‐ julia sent  to alice 
‐ … 
‐ … 
 
 
alice 
alice broadcasts the 
message to the 
network 
send           to arthur 
arthur 
each block contains 
recordings of several 
previous transactions 
the blockchain 
is stored on 
network nodes 
nodes check if the message was actually sent by alice and if 
she owns the money she wants to transfer (by comparing 
incoming and outcoming transactions).",Blockchain,0
"if so, they add the transaction to a block (which also contains 
other transactions occurred in the same time frame) 
# # # # 
the blockchain is 
a collection of 
ordered blocks 
the added block contains the 
transaction from alice to arthur 
in order to add the new 
block to the blockchain, the 
nodes have to solve a 
complex mathematical 
problem (mining) 
the problem is finding a 
random number that, if 
combined with a numeric 
summary of the previous 
block, provides a given result 
+  = 
+  = 
+  = 
… … … 
when the problem is 
solved, the new block is 
added to the blockchain 
‐ alice sent  to arthur 
‐ bill sent  to jeff 
‐ … 
‐ … 
 
 arthur receives 
the money 
xy 
vy 
figure .",Blockchain,0
performing transactions on the blockchain.,Blockchain,0
"future internet , ,   of 
alice makes a statement in which she specifies the amount to be transferred as well as the recipient
of the transfer, and validates this message with her credentials (for sake of readiness, the image reports
users’ names instead of their addresses).",Blockchain,0
"then, she broadcasts the message to the network.",Blockchain,0
"network
nodes verify if the message’s sender was actually alice (by verifying if the message was correctly
validated using her credentials), and check if she possesses the amount to be transferred.",Blockchain,0
"in order to
perform this check, they use their local copy of the blockchain and analyze incoming and outgoing
transactions from alice’s wallet address that are stored in previous blocks.",Blockchain,0
"if the message sent by
alice is valid and she is entitled to spend the money, they add alice’s transaction, together with other
transactions occurring in the same time frame, to a block.",Blockchain,0
"in order to add the block to the blockchain,
they then start solving a complex mathematical problem, where they have to find a random number
that, combined with a numeric summary of the previous block, provides a given result.",Blockchain,0
"during this
(mining) process, the fastest node receives a monetary reward.",Blockchain,0
"when a valid result is found, the new
block is added to the blockchain.",Blockchain,0
"as a result, arthur receives the money.",Blockchain,0
"the above example should have allowed the reader to get better acquainted with the main
characteristics of the blockchain, which make it a disruptive technology:
- decentralized validation: the validation of transactions is performed by network nodes without
the need of intermediaries;
- data redundancy: each network node has a local copy of the blockchain, which prevents
data losses;
- data immutability: data stored in the blockchain could not be modified or deleted;
- trust: cryptography enables trust between parties, since a transaction that has been validated
using user’s credentials cannot be repudiated;
- transparency: everyone could read the blockchain and the transactions stored in it.",Blockchain,0
"though the example in figure  refers to a transfer of cryptocurrency, application possibilities of
the blockchain are not limited to monetary assets, but could encompass a wide variety of use cases.",Blockchain,0
"among the early application scenarios that were explored for the blockchain, it is worth recalling
the notarial context.",Blockchain,0
"in fact, since the blockchain is immutable and publicly available, researchers
suggested using it for storing public records and attestations [].",Blockchain,0
"another domain where the blockchain
has been recognized to be able to bring significant benefits is intellectual property protection.",Blockchain,0
"in this
context, blockchain technology could be used to prove/certify the existence of a document at a given
time [].",Blockchain,0
"in contexts where, e.g., freedom of thought is threatened, blockchain technology could be
used to store information in order to avoid censorship []: in fact, everyone can write information on
the blockchain and read it.",Blockchain,0
"as time has passed, researchers have realized that the blockchain could also be used to store other
kinds of assets, including pieces of code.",Blockchain,0
"it was the birth of “smart contracts”, i.e., small programs
stored in the blockchain and programmed to autonomously behave in a given manner when some
conditions are met.",Blockchain,0
"the idea of a smart contract has been known since the s [], but it was only with the blockchain
technology—and, in particular, with the ethereum blockchain (probably the most famous blockchain
after bitcoin)—that smart contracts were able to unleash their full potential [].",Blockchain,0
"with a smart contract, a person could, for instance, encode his/her will in the blockchain in the
form of a set of rules.",Blockchain,0
"in case of death, the smart contract could then automatically transfer the testator’s
money or other kind of assets to the beneficiary.",Blockchain,0
"the testator may also provide additional constraints,
such as enabling the transfer only when the beneficiary reaches the age of majority, when he/she
obtains a diploma, etc.",Blockchain,0
"since smart contracts’ conditions are based on data stored in the blockchain, they need to rely
on external services, which take data from the “real” world (e.g., from death records) and push them
to the blockchain (or vice versa).",Blockchain,0
these services are referred to as “oracles” [].,Blockchain,0
"by considering
the testator’s example, an oracle could inspect death records to identify whether the person passed
future internet , ,   of 
away.",Blockchain,0
"if so, it could write this information on the blockchain (e.g., by changing the value of a boolean
variable indicating whether the person is alive or not).",Blockchain,0
"the smart contract, then, would trigger a
conditional statement (based on the value of the variable), and execute the block of code initiating the
money transfer.",Blockchain,0
"based on the type of information collected and on the interaction with the external world, oracles
have been grouped into “software”/“hardware” oracles, and “inbound”/“outbound” oracles [].",Blockchain,0
"software oracles are in charge of extracting information mainly from web sources, whereas hardware
oracles are meant to extract information from the physical world (e.g., through sensors).",Blockchain,0
"inbound
oracles insert information in the blockchain, whereas outbound oracles allow smart contracts to send
information to the external world (e.g., letting hotels’ intelligent lockers unlock themselves as soon as
a person pays for a night).",Blockchain,0
"oracles have a huge responsibility in the correct execution of smart contracts, as the insertion
of wrong information could trigger a money transfer without possibility of refund.",Blockchain,0
"thus, there are
companies that have developed oracles that certify the authenticity of extracted data for a small
cost [].",Blockchain,0
"in some cases, it could be worth relying on more than one oracle, e.g., by considering a
situation as “happened” if  out of  oracles confirm it [].",Blockchain,0
"recently, an even more complex application of smart contracts and oracles was proposed, which
is associated to the concept of decentralized autonomous organization, or daos [].",Blockchain,0
"in this context,
smart contracts are used to encode rules to govern an organization, e.g., how decisions are taken,
the weight of each member’s vote, etc.",Blockchain,0
"the advantage is that no external party is required to verify
that the organization is properly managed, and underlying rules can be verified by the wider public,
ensuring transparency and trust.",Blockchain,0
"from the architectural point of view, it is worth remarking that there exist different types of
blockchains, which differ in terms of read/write permissions.",Blockchain,0
"“public blockchains” (such as the bitcoin
blockchain) are blockchains that could be readable and potentially writable by everyone.",Blockchain,0
"“private
blockchains” are blockchains that could be written only by organization members.",Blockchain,0
"read permissions
can be either restricted to the organization, or made public.",Blockchain,0
"in “consortium blockchains”, a set of
selected nodes belonging to different institutions control validation, and the blockchain is used to
share information among participant institutions.",Blockchain,0
"public blockchains are particularly useful when
no central entity is available to verify a transaction, and full decentralization is needed.",Blockchain,0
"private
and consortium blockchains provide some advantages, such as lower validation costs and shorter
validation times (given the fact that, because of the smaller number of nodes, the mathematical problem
can be simplified), reduced risk of attacks (since nodes that validate transactions are known) and
increased privacy (as read permissions could be granted only to selected nodes).",Blockchain,0
"furthermore, in case
of errors or bugs in smart contracts, private and consortium blockchains could extraordinarily modify
or revert previous transactions.",Blockchain,0
"the choice of the type of blockchain to adopt should be based on the amount of decentralization
required, and on time/cost constraints [,].",Blockchain,0
"eventually, some hybrid solutions, exploiting cross-chain
exchange layers between public and private blockchains, could be exploited [], e.g., by using a
private blockchain for a company’s backend activities and a public blockchain for receiving/sending
money from/to customers.",Blockchain,0
"finally, it must be underlined that, when selecting the blockchain to
use, one should pay attention to avoiding decentralization for the sake of itself.",Blockchain,0
"in fact, a number of
companies’ processes are currently managed in a successful way using relational databases, and the
switch to a (private) blockchain could not be worth the effort [,].",Blockchain,0
"with respect to private blockchains
versus centralized databases, experts argue that “the biggest advantages of private blockchains in
comparison to centralized databases are cryptographic auditing and known identities.",Blockchain,0
"nobody can
tamper with the data, and mistakes can be traced back” [].",Blockchain,0
"others suggest that a blockchain could be
a solution more suitable than a database only in case a company “plans to start privately and evolve
into a regular public blockchain for public cross-verification as demand/volume grows” [].",Blockchain,0
"blockchain applications in insurance: selected use cases
as illustrated in the previous section, advantages of blockchain are various.",Blockchain,0
"could write qualifications achieved by a person on the blockchain; human resources staff could
then easily obtain information about when and where a given competency was obtained.",Blockchain,0
"a rather comprehensive overview of applications developed in each of the above sectors can be
found in [,].",Blockchain,0
"what should be evident from the above list is that benefits deriving from the adoption
of blockchain technology are not limited to a single sector/scenario.",Blockchain,0
"moreover, even within a given
sector, blockchain can have different impacts considering the various stakeholders operating in it, their
business models, their needs, etc.",Blockchain,0
"in the following, the attention will be specifically devoted to the insurance sector, where the
use of blockchain could positively affect different internal processes (from customer acquisition
and management, to frauds prevention, etc.)",Blockchain,0
"and could even allow companies to reach new
markets [,,,].",Blockchain,0
"in particular, a selection of use cases that could potentially benefit from blockchain
technology will be introduced.",Blockchain,0
"for some use cases, prototype implementations have already been
developed.",Blockchain,0
"in other cases, the use of blockchain has been only analyzed from a theoretical point of view.",Blockchain,0
"for each use case, advantages, disadvantages and impact on the insurance domain will be discussed.",Blockchain,0
".. improvement of customer experience and reduction of operating costs
in this use case, blockchain and smart contracts could be exploited to increase the speed of claim
processing as well as to reduce the costs (and mistakes) associated with the manual processing of
claims.",Blockchain,0
"from this perspective, a smart contract could encode the rules for enabling the transfer of
refund from the company to the insured.",Blockchain,0
"a simple application could consist of triggering an automatic transfer of refund only if the
customer repairs the car at a certified mechanic, with the mechanic sending a transaction to the smart
contract to prove its identity.",Blockchain,0
more complex use cases could also involve oracles to gather information from the real world.,Blockchain,0
"to make an example, in crop insurance an oracle could periodically check weather data and push this
information in the blockchain.",Blockchain,0
"a smart contract could then read these data, and trigger a payment in
case of persistence of bad weather.",Blockchain,0
"these problems have been dealt with, for instance, in the prototype presented in [].",Blockchain,0
"in this case,
the focus is on travel insurances, and the idea is to exploit a smart contract developed on the ethereum
blockchain for automatically refunding travelers if their flight/train was delayed.",Blockchain,0
"another interesting use case, which could widely benefit from the increasing diffusion of sensors,
is the exploitation of smart contracts in combination with iot.",Blockchain,0
"for instance, homes could be equipped
future internet , ,   of 
with sensors that can directly notify a smart contract of a damage (e.g., damp sensors could be used to
monitor damages on the roof) [].",Blockchain,0
"similarly, smart appliances could automatically monitor their state,
and initiate a claim or directly contact the repairer for a quicker assistance when needed.",Blockchain,0
"solutions such as the ones envisioned above bring benefits to different actors: to the insurance
company, which could reduce the amount of resources normally devoted to claim processing, but also
to customers, who would receive money even before having become aware of the damage.",Blockchain,0
another advantage would come from the fact that everyone could inspect the smart contract.,Blockchain,0
"that is, the customer undersigning a policy would get a clear idea of its contractual conditions (even
though, at the moment, he/she should master some programming skills in order to understand
the smart contract code).",Blockchain,0
"consequently, it would become easier for him/her to compare policies.",Blockchain,0
"furthermore, the choice of a policy would no more based only on how much he/she trusts a given
company (since trust would be implicitly guaranteed by the smart contract), but on objective data.",Blockchain,0
"despite these advantages, it must be said that the scenario above could be adopted only for a
limited number of policies.",Blockchain,0
"in fact, the majority of claims processed by insurance companies still need
to be evaluated by an external expert before being settled.",Blockchain,0
"in case of manual processing, however,
the customer experience could still be improved by managing payments in cryptocurrencies, whose
transfer would be quicker than with traditional methods (several seconds or minutes depending on
the blockchain used).",Blockchain,0
"from the architectural point of view, probably the most suitable choice is to adopt a combination
of private and public blockchains.",Blockchain,0
"the private blockchain could be used to record policies and
claims data, whereas the public blockchain could be used to trigger the refund in terms of tradable
cryptocurrencies (such as ethers or bitcoins).",Blockchain,0
"the private blockchain could be maintained by trusted
company’s computers/nodes characterized by lower mining costs with regard to those of public
blockchains.",Blockchain,0
"the public blockchain would be maintained by the wider public, through the mining
incentives presented in section .",Blockchain,0
"alternatively, the company could decide to exploit only a public
blockchain.",Blockchain,0
