Text,Category
"patient guide
lines are for example often based on timeconsuming
rcts and done on selective populations which makes
it hard to extrapolate results to individual patients
felder and meerding ",Big data
"big data seem to offer
an attractive alternative and are surrounded by claims
of quick and comprehensive analysis of data and ‘with
the aura of truth objectivity and accuracy’ boyd and
crawford  ",Big data
"these grand promises lead to a
positive rhetoric that surrounds the term and that
drives implementation of big data in healthcare",Big data
"department of health care governance erasmus school of health
policy  management the netherlands
corresponding author
marthe stevens department of health care governance erasmus
school of health policy  management po",Big data
"box   dr
rotterdam the netherlands",Big data
"email stevenseshpmeurnl
creative commons noncommercialnoderivs cc byncnd this article is distributed under the terms of the creative commons
attributionnoncommercialnoderivs ",Big data
"license  which permits noncom
mercial use reproduction and distribution of the work as published without adaptation or alteration without further permission provided the original
work is attributed as specified on the sage and open access pages 
big data  society
july–december  –
",Big data
"the authors 
article reuse guidelines
sagepubcomjournalspermissions
doi 
journalssagepubcomhomebds
publications about big data frequently discuss
topics related to knowledge generation evidence and
causation eg",Big data
"anderson  mayerschönberger
and cukier ",Big data
"provocatively these publications
celebrate the inevitable decline of traditional research
as big data are supposed to handle large volumes of
messy realworld data more efficiently and can uncover
hidden correlations",Big data
"in response to these claims there
has been a recurrent call for more studies into the epis
temological implications of big data boyd and
crawford  crawford et al  mittelstadt
and floridi  which scholars have started to
address",Big data
"as a result a critical scholarly discourse that
reflects on how big data shape our knowledge and
understanding is forming in primarily the fields of
science and technology studies sts and critical
data studies eg",Big data
"kitchin  leonelli 
rieder and simon ",Big data
"while these fields have been
instrumental in elaborating the neglected and problem
atic dimensions of big data it remains an open ques
tion how and to what extent such insights become
embedded in other fields such as healthcare",Big data
"this paper critically reviews the epistemological
claims and envisioned implications that accompany
big data in the healthcare domain",Big data
"the healthcare
field is characterized by a strongly institutionalized set
of epistemological principles and generally accepted sci
entific methodologies timmermans and berg ",Big data
"big data challenge these principles and methodologies
with the consequence that the epistemological implica
tions of big data practices could be particularly pro
found",Big data
"what we value as evidence and knowledge has
implications for the way medical decisions are taken
and healthcare is organized",Big data
"opening up the assump
tions allows us to evaluate the role of big data in
healthcare critically and open up opportunities for
debate and fruitful intervention",Big data
"we base the paper on a systematic and comprehen
sive review of scientific editorials as these in particular
summarize and reflect upon developments in the field",Big data
"we focus on discourses surrounding big data in the
analysis and construct five idealtypical discourses
based on a detailed analysis of the language conveyed
in the editorials",Big data
"the discourses show the diverse ways
in which big data and the epistemological claims are
conceptualized",Big data
"we chose this focus as language is the
medium through which people come to understand big
data and it influences the way big data initiatives are
performed and legitimated",Big data
"three questions guide our
analysis
 what big data discourses can be identified in sci
entific healthcare literature",Big data
" how do the discourses conceptualize the meaning
of evidence",Big data
" what are the consequences of these conceptualiza
tions for the way big data is understood in
healthcare",Big data
"big data as material practice and
semantic reality
many authors have discussed the ambiguity surround
ing the term big data",Big data
"the term is often characterized
by its volume velocity and variety ‘the vs’ mayer
schönberger and cukier ",Big data
"however many believe
that these three characteristics do not sufficiently cap
ture big data",Big data
"the vs are thus often extended with
extra ‘v’s such as value viability variability visualiza
tion and veracity devan  kitchin and mcardle
",Big data
"others use different qualifications to characterize
big data such as exhaustively relationality extension
ality and scalability boyd and crawford  kitchin
and mcardle  mayerschönberger and cukier
",Big data
"despite the many attempts there is still no con
sensus about the term big data",Big data
"inspired by the approach of beer  and
rudinow saetnan et al",Big data
" we conceptualize big
data as a set of practices and ideas that exist in both
 real material practice and in  a semantic reality",Big data
"first big data exist in specific actions technologies
and initiatives that are introduced to restructure health
care",Big data
"it is linked to the collection and aggregation of
available data and correlation patternrecognition and
predictive analyses",Big data
"these data and analytics are subse
quently used in real initiatives that aim to collect data
track profile and predict behaviour p",Big data
"manifest as the frontier of st century technology big data instigate 
superior business return",Big data
this lure businesses to zealously capitalize big data,Big data
"in correspond 
professionals too are charting their way to improve customer value with big data",Big data
"leading 
research in this area accede maximization on big data revolutionized the norm of medical and 
accounting profession",Big data
"despite the substantial value big data uptake from the quantity 
surveying profession recognized subtle",Big data
"contrarily construction stakeholders swiftly embrace 
modern technology in their construction value chain",Big data
"this invoke a change in data landscape 
thus present an urgent call for professionals especially quantity surveyors to recognize the 
change embrace and reap the big data benefit",Big data
"this paper aims to expand big data knowledge 
from the context of quantity surveying profession as an approach to soothe the big data and 
quantity surveying gap",Big data
"this paper identifies generic big data value from professional 
perspective and explore big data value from the quantity surveying context",Big data
"aligning to the 
blurry big data paradigm in the quantity surveying context this research adopts quantitative 
research with desk study on  papers and framework analysis through  semistructured 
interviews with big data industry expert with quantity surveying background",Big data
"this research 
found that big data values are consistent across profession albeit the difference on how big data 
is maximized",Big data
"other than that the paucity of quantity surveying big data pursuance seen as 
repercussion of infancy big data state in the construction industry",Big data
"however this research 
insinuate quantity surveying profession are in strategic position to move forward with big data",Big data
"history 
 
received  july  
accepted  september  
available online  september  
 
keywords 
 
big data big data value construction industry 
framework analysis quantity surveyors   
 
corresponding author contact 
 
zafiranadiagmailcom 
 
doi 
 
ijbesvn",Big data
anticipated £ billion revenue to the uk economy through big data,Big data
"these serve concrete evidence on big data reinforce organizations 
confidence and desire to strategically move forward with big data",Big data
over the years it governs changes among professionals,Big data
"interestingly 
the post  research shows that medical and accounting profession 
moved towards embracing the technological change and pursue big data",Big data
"medical profession evolved from being doctor dominance profession 
towards patient centered healthcare personalized healthcare and 
ubiquitous healthcare",Big data
"accountants on the other hand taking a leap 
towards maximizing nonfinancial information source for fraud 
detection and live auditing",Big data
"taking advantage on the surge of demand on 
big data accounting profession are emerging towards professions role 
expansion as data valuator as we speak association of chartered 
certified accountants  chawla  davis  digital news asia 
 dynamic markets  groves et al b ibm  
b knowledgent  manyika et al  murdoch  detsky 
 savage  zenger ",Big data
"with big data professionals can 
deliver more values to customer moving passive reactive and 
supportive roles towards proactive approach in delivering services",Big data
"big data is seen as a doublesword technology delighting customer 
needs while enriching organizational and professional value",Big data
"from the 
perspective of the construction industry current research indicates a 
positive adaptation of technological innovations by construction 
stakeholders",Big data
"kpmg  and lasrado  unveil computer aided 
design cad virtual reality vr building information modelling 
bim cloud computing as well as iot lead technology sensors drones 
radio frequency identification rfid and global positioning system 
technology usage trend post year ",Big data
"current technology is 
characterized by its capability to overcome human limitations and better 
understanding of work process",Big data
"this shows that it function has greatly 
moved from a communication medium and facilitating administrative 
work as emails and windows application towards capitalizing it in 
improving productivity and work process",Big data
"although agreeing positive 
potential streaming from current technological trend in the construction 
industry from a second point of view technological advancement 
changes the landscape on data generation and availability in the 
construction industry",Big data
"this is argued to change the context of data 
previously driven by documented data on papers technology application 
in work processes generates data in digital format",Big data
"changes in data 
creation calls for perhaps different approach on understanding the 
difference of what it means to the construction industry managing and 
maximizing data",Big data
"remain in the infancy stage big data research in construction industry 
context pioneered by bilal et al  chen lu  liao  and 
hafiz et al ",Big data
"academic research is exploring the context of big 
data from the construction industry perspective",Big data
"more recent research 
explores on the potential of big data however signalling an alarm for 
construction stakeholders especially quantity surveying professionals to 
strategically manage and maximizing the value of big data ismail bandi 
 maaz  maaz bandi  amirudin ",Big data
"in relation to the progress made by other professionals in medical and 
accounting these research advert minimal amount of research is 
currently undertaken to guide quantity surveying profession to move 
forward with big data",Big data
"hence compared to other professionals this 
implies paucity on big data in the context of professionals in 
construction industry especially quantity surveying profession",Big data
"relating on the issues of paucity of quantity surveying profession on big 
data and the changing landscape of data in construction industry this 
research aims to expand big data knowledge from the context of 
quantity surveying profession",Big data
"the context of this paper is part of an on
going research however this paper adds to this knowledge by  
identify generic big data value from professional perspective and  
exploring the value of big data for quantity surveyors  
 research methodology 
this paper is founded on no single perspective on idea of multiple 
realities ontological point of view",Big data
"due to the research context 
conducted in the infancy stage development of big data in construction 
context as well as paucity in big data research addressing to specific 
quantity surveying profession qs this research stems on 
interpretivistic epistemology and moderated qualitative approach is 
deemed suitable for this research to give emphasis on words instead of 
data computation bryman ",Big data
"this paper address on the 
importance of exploring big data from the qs perspective not creating 
a final establishment on this area of research but instead expanding the 
establishment of knowledge",Big data
"data supporting the first objective in this paper is derived based on desk 
study research",Big data
"to gain comprehensive data search google scholar 
databased was used with ‘big data potential’ ‘healthcare’ and 
‘accounting’ keyword with boolean or",Big data
"specification on ‘healthcare’ 
and ‘accounting’ were based on initial readings in relation to the area of 
this research",Big data
"it is found that among professionals medical professionals 
were avid and advanced big data adopter while accountant are 
professionals with progressive pursuance on big data",Big data
"thus selection of 
both professions believed to reflect differences if any and eradicating 
bias towards the findings on generic big data value",Big data
"more importantly 
both professions are seen similar to qs profession",Big data
"during the early 
technology adaptation across sector doctors accountants and quantity 
surveyors were among the profession with less progressive technology 
adaptation",Big data
"data were then filtered according to its relation to the research context 
and  sets of data discussion big data value were gathered",Big data
"the second 
and final objective were conducted through indepth semistructured 
interviews of  qs professionals involved in the big data initiative at 
national level through snowball sampling",Big data
"the first respondent was 
identified during statistics indices in construction  automation 
sica forum ",Big data
"data are transcribed and analysed using 
framework analysis similar to priori objective",Big data
"framework analysis was used to improve the transparency and 
robustness of this study ritchie  spencer ",Big data
"transcribe data are 
analysed throughout data collection period between mayjuly ",Big data
"data saturation was achieved during the tenth interview as respondents 
are constantly describing similar context identified in the previous 
interviews however the remaining five interviews were conducted to 
gain elicit understanding on big data",Big data
"the five stage in framework 
analysis familiarization identifying thematic framework indexing 
charting and mapping and detail process interpretation in stages 
facilitated researcher flexibility in extracting critical insights while 
paving transparency credibility braun  clarke ",Big data
"the first four 
stages of framework analysis were assisted by nvivo and descriptive 
coding strategy popularized by saldaña  and detail process 
interpretation were conducted based researcher emerging thoughts 
supported by data findings and theoretical big data research analysis  
 the generic big data value 
professionals across sectors are moving towards adopting big data to 
improve service to clients",Big data
"desk study findings on  sets of journal and 
whitepaper were analyzed and presented in table ",Big data
"table  presents 
the generic big data value based upon two profession currently 
maximizing on big data",Big data
"analysis reveals four big data value across the 
  
 
profession which includes process improvement creating better 
services transforming or revolutionizing profession and new 
opportunities creation",Big data
"accountants and doctors share two common big data value which are 
process improvement and better services",Big data
"in terms of process 
improvement by connecting inventories with rfid big data provide 
value through selfservice data retrieval",Big data
"this enable accountants to 
ensue inventory checking improving work efficiency and productivity 
while reducing job repetition hathaway  vasarhelyi et al 
",Big data
"furthermore data analytics helps accountants to see the overall 
picture generalize patterns and trends to provide better advice to 
organization managers and leaders and adds value to organizations cao 
et al  warren et al ",Big data
"moreover trends and patterns assist 
accountants to prepare financial analysis based on nonfinancial data",Big data
"aligning to this accounting report released by association of 
association of chartered certified accountants  attest task 
automation does not diminish the role of an accountant but instead 
equips accountants with better capability to explore new roles such as 
advising the suitable nonfinancial data to be incorporated with strategic 
investment decisions for managers and leaders or exploring data sharing 
boundary within organizations and externally",Big data
"similarly big data 
capability in handling large and various data sources enables healthcare 
standardization",Big data
"coupled with clinical information profiling based on 
patient’s data delivered in real time this guide coordinated approach 
for more reliable and affordable diagnosis groves et al a 
knowledgent  murdoch  detsky ",Big data
"hence findings infer 
towards maximization of automation in big data as well as capability in 
handling data with big data characteristics large volume variety and 
real time data leads towards process improvement for professionals’ 
service to client",Big data
"the context of creating better services is further addressed through big 
data capability to revamp conventional healthcare methods and skew 
towards ubiquitous groves et al a ibm  and healthcare 
chawla  davis  ibm   knowledgent  
manyika et al  murdoch  detsky  savage  zenger 
",Big data
"instead of retroactive practice approach doctors can analyse real 
time patient’s data and predict patient’s healthcare status remotely 
through ubiquitous healthcare",Big data
"this increase healthcare system 
efficiency",Big data
"for example patient’s body temperature and 
electrocardiogram can be monitored virtually through wearable device 
signal without having to stay admitted which mitigate problems such as 
hospital cramp",Big data
"on the other hand personalized healthcare is the way 
forward as doctors can tailor best treatment options according to 
patients biological needs",Big data
"this enables doctors to deliver better service 
and taking a leap change from the traditional practice",Big data
"in other words 
professionals can move towards delivering better service through big 
data because big data facilitate instant data access as well as 
comprehensive data access in early decisionmaking stage",Big data
"however 
none of the data sets analysed address the context of creating better 
service from the accounting perspective",Big data
"consistent themes were found in the literature describing big data as a 
form of technology which invites profession transformation or 
revolution",Big data
"from the accounting perspective bourmistrov and kaarbøe 
 argues traditional budgeting techniques are pinned upon an 
inward focus and lack of creativity",Big data
"new data sourced exploration 
through big data allows the development of integrated and standardized 
reporting",Big data
"new forms of data such as user experience input of using 
accounting technics or format can be further accessed",Big data
"this provides a 
clearer perspective on company performance better indicator for 
growth and value creating as well as transparency",Big data
"next big data is 
seen to improve audit process through live auditing",Big data
"pricewaterhouse 
coopers malaysia pwc uses big data to review transactions in micro 
perspective digitally instead of reviewing transaction documents which 
are prone to accuracy problems",Big data
"various data source enable 
accountants to easily spot anomalies and focus on the root cause 
digital news asia ",Big data
"chan  and  mittermayer  
discuss the ability of predictive analytics to assist accountants in 
analysing positive and negative risks to address accurate future 
investment opportunity risks",Big data
"on a similar stance manyika et al 
 proffers that data analytics helps to promptly detect healthcare 
pattern locally and globally",Big data
"by this doctors are well informed on the 
local need of healthcare services analyzing patient’s data and hospital 
records",Big data
"therefore delivering proactive healthcare service and 
transforming the healthcare services",Big data
